tower_mode,tower_x,tower_y,delta_y_m,legal,reject_reason,selected_for_formal,profile,tower_x_m,tower_y_m,mirror_count,mirror_set_hash,outer_clipped_count,total_area_m2,annual_power_mw,power_margin_mw,unit_area_power_kw_m2,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,field_output_mw,unit_area_output_kw_m2,delta_q_from_six_medium,formal_reject_reason,formal_power_mw,formal_q_kw_m2
A,0.0,-183.8000539392233,-2.0,True,,False,q3-six-refine-medium,0.0,-183.8000539392233,1469,e46c11032b5f0d8bc9714342f3afdbce8a710dc252a9a19a6ccd09937a00545a,1771,60653.624818923265,41.95476920603028,-0.04523079396972207,0.6917108306598825,0.7132503241821244,0.8438704932041367,0.9821116533216611,0.9596704068843952,0.9765141828619597,41.95476920603028,0.6917108306598825,0.00045283769812387575,,,
A,0.0,-182.8000539392233,-1.0,True,,False,q3-six-refine-medium,0.0,-182.8000539392233,1473,852f6edb6eea274efb48e546444a924afa24afb617a9c49fae02e93104dd2b74,1767,60836.72263879059,42.05264265028665,0.05264265028664994,0.6912378054940312,0.7127416898662108,0.8430624107430645,0.9822125063208327,0.9597333388987933,0.9766098507634241,42.05264265028665,0.6912378054940312,-2.0187467727361685e-05,,,
A,0.0,-182.3000539392233,-0.5,True,,True,q3-six-refine-medium,0.0,-182.3000539392233,1471,1b2e6f5beedf492787f353abaa25b017d52782b4ad273fd390bf58b6afea593a,1769,60762.43577855319,42.00496422028237,0.0049642202823676485,0.6912982286188816,0.7128024704508765,0.8430098704067143,0.9822679859315199,0.9597609412800796,0.9766673762203392,42.00496422028237,0.6912982286188816,4.023565712296673e-05,,42.04435182367202,0.6919464515362971
A,0.0,-181.8000539392233,0.0,True,,True,q3-six-refine-medium,0.0,-181.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.01285734340078,0.012857343400781929,0.6912579929617586,0.7127593109359119,0.8428877923752294,0.9823027972617625,0.9597762039735313,0.9766978317473117,42.01285734340078,0.6912579929617586,0.0,,42.051608025429616,0.6918955767963023
A,0.0,-181.3000539392233,0.5,True,,False,q3-six-refine-medium,0.0,-181.3000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.01285734340078,0.012857343400781929,0.6912579929617586,0.7127593109359119,0.8428877923752294,0.9823027972617625,0.9597762039735313,0.9766978317473117,42.01285734340078,0.6912579929617586,0.0,,,
A,0.0,-180.8000539392233,1.0,True,,False,q3-six-refine-medium,0.0,-180.8000539392233,1473,55f285102e494a24d6c4860063648c2f46ac11a2e27f86936781a9e323851f70,1767,60861.438453496296,42.05874281430603,0.058742814306029345,0.6910573243588837,0.7125446664778515,0.8425930784995432,0.9823260856484228,0.9597925275497138,0.9767184132542079,42.05874281430603,0.6910573243588837,-0.0002006686028749316,,,
A,0.0,-179.8000539392233,2.0,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1477,c3590ab115c4614deb87bce37dbd34ef1771fdff7c1570ea272d9daa2905c6a9,1763,61021.33795362737,42.15096388348668,0.150963883486682,0.6907577791152157,0.7122273128433406,0.8421635279331489,0.9823527166410047,0.9598087148695748,0.9767556914330221,42.15096388348668,0.6907577791152157,-0.0005002138465428629,,,
B,0.0,-183.8000539392233,-2.0,True,,False,q3-six-refine-medium,0.0,-183.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,41.989914679551916,-0.01008532044808419,0.6908805061453839,0.7123674965936148,0.8434562481890144,0.981484866646859,0.9596709407735048,0.9764300742545526,41.989914679551916,0.6908805061453839,-0.00037748681637472803,,,
B,0.0,-182.8000539392233,-1.0,True,,False,q3-six-refine-medium,0.0,-182.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.00178176987547,0.0017817698754711842,0.6910757611591598,0.7125677621378245,0.8431723509624584,0.9818931202144267,0.9597236714913632,0.9765719948096883,42.00178176987547,0.6910757611591598,-0.0001822318025987979,,,
B,0.0,-182.3000539392233,-0.5,True,,False,q3-six-refine-medium,0.0,-182.3000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.00878066409339,0.008780664093393398,0.6911909173726613,0.7126892740502438,0.843030154547776,0.9821301243932666,0.9597499625456523,0.9766349599183609,42.00878066409339,0.6911909173726613,-6.7075589097354e-05,,,
B,0.0,-181.8000539392233,0.0,True,,False,q3-six-refine-medium,0.0,-181.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.01285734340078,0.012857343400781929,0.6912579929617586,0.7127593109359119,0.8428877923752294,0.9823027972617625,0.9597762039735313,0.9766978317473117,42.01285734340078,0.6912579929617586,0.0,,,
B,0.0,-181.3000539392233,0.5,True,,False,q3-six-refine-medium,0.0,-181.3000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.016663720478995,0.016663720478995003,0.6913206211367011,0.7128260456481958,0.8427452640202376,0.9824711489463284,0.9598023957072104,0.9767622686665849,42.016663720478995,0.6913206211367011,6.262817494251394e-05,,,
B,0.0,-180.8000539392233,1.0,True,,True,q3-six-refine-medium,0.0,-180.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.0192271157116,0.019227115711601073,0.691362797926277,0.7128678984071278,0.842602569052715,0.9826075417250394,0.9598285376786574,0.9768247987373684,42.0192271157116,0.691362797926277,0.00010480496451836796,,42.06253208065665,0.692075315594583
B,0.0,-179.8000539392233,2.0,True,,True,q3-six-refine-medium,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.02240646632114,0.02240646632113652,0.6914151093295057,0.7129205256822425,0.842316677532215,0.9828459455071725,0.9598806720615001,0.9769467942328152,42.02240646632114,0.6914151093295057,0.00015711636774706772,,42.076123760535005,0.6922989461198028
