stage,candidate,profile,tower_mode,tower_x_m,tower_y_m,mirror_count,mirror_set_hash,outer_clipped_count,total_area_m2,annual_power_mw,power_margin_mw,unit_area_power_kw_m2,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,field_output_mw,unit_area_output_kw_m2,delta_q_from_six
tower_scan,mode-A-dy--0.5,q3-six-refine-formal,A,0.0,-182.3000539392233,1471,1b2e6f5beedf492787f353abaa25b017d52782b4ad273fd390bf58b6afea593a,1769,60762.43577855319,42.04435182367202,0.04435182367201662,0.6919464515362971,0.7134097563898721,0.8430098704067143,0.9810074362609653,0.9597609412800796,0.9786315414797373,42.04435182367202,0.6919464515362971,5.0874739994766216e-05
tower_scan,mode-A-dy-+0,q3-six-refine-formal,A,0.0,-181.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.051608025429616,0.05160802542961562,0.6918955767963023,0.7133543519598581,0.8428877923752294,0.9810317316194804,0.9597762039735313,0.9786557889830242,42.051608025429616,0.6918955767963023,0.0
tower_scan,mode-B-dy-+2,q3-six-refine-formal,B,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.076123760535005,0.07612376053500469,0.6922989461198028,0.7137991156485709,0.842316677532215,0.9819524359075967,0.9598806720615001,0.9788627672735749,42.076123760535005,0.6922989461198028,0.00040336932350049093
tower_scan,mode-B-dy-+1,q3-six-refine-formal,B,0.0,-180.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.06253208065665,0.06253208065665206,0.692075315594583,0.7135522960485507,0.842602569052715,0.9814593840154447,0.9598285376786574,0.9787583689291439,42.06253208065665,0.692075315594583,0.00017973879828070416
campo_geometry,best-medium-geometry,q3-six-refine-formal,B,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.10757668411066,0.10757668411066135,0.6928164563821013,0.7143719934467226,0.8423789864674557,0.9825831078809432,0.959908774067568,0.9788897602863675,42.10757668411066,0.6928164563821013,0.000920879585799006
specification_sensitivity,H4+,q3-six-refine-formal,B,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.095502832424614,0.09550283242461433,0.6926177994229804,0.7141315390810664,0.842371567188407,0.9822943588500673,0.959909177182927,0.9788904509286335,42.095502832424614,0.6926177994229804,0.0007222226266780929
specification_sensitivity,H6-,q3-six-refine-formal,B,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.10086823612264,0.1008682361226434,0.6927060790218047,0.714233033092756,0.8423845584644343,0.9823997661999975,0.9599084801256015,0.9788896409232939,42.10086823612264,0.6927060790218047,0.0008105022255023853
specification_sensitivity,h1-,q3-six-refine-formal,B,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60732.9433960727,42.07854282201696,0.0785428220169635,0.6928454388847878,0.7144070896780301,0.8424098367735102,0.9826139932154728,0.9598976677449779,0.978883295086705,42.07854282201696,0.6928454388847878,0.0009498620884854647
specification_sensitivity,H2-,q3-six-refine-formal,B,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.10862467161375,0.10862467161374667,0.6928336994306306,0.714390784084978,0.8423966135660887,0.9825911878387606,0.959907843367125,0.9788876895779334,42.10862467161375,0.6928336994306306,0.0009381226343282423
specification_sensitivity,w1-,q3-six-refine-formal,B,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60736.35618016617,42.08010775356239,0.08010775356238753,0.6928322737824024,0.7143911055877283,0.8424074664210541,0.9825896808233626,0.9598985210881827,0.978887427867244,42.08010775356239,0.6928322737824024,0.0009366969861001051
specification_sensitivity,H5+,q3-six-refine-formal,B,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.096468310304076,0.09646831030407554,0.6926336849005084,0.7141589330612065,0.8423675085732175,0.9823290759017429,0.9599093972373822,0.9788910986207111,42.096468310304076,0.6926336849005084,0.0007381081042060478
final_acceptance,local-search-best,q3-six-refine-formal,B,0.0,-178.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60736.35618016617,42.088548451071105,0.0885484510711052,0.6929712465170142,0.7145408382443944,0.8421385486997497,0.9829561691018839,0.9599495587617908,0.9789865244810524,42.088548451071105,0.6929712465170142,0.001075669720711936
formal_closure,bracketed-local-best,q3-six-refine-formal,B,0.0,-176.3000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60719.432481937794,42.08621473960727,0.08621473960727144,0.6931259568693541,0.7146994827836527,0.8414349076260138,0.983607312327096,0.9600742348766725,0.9792527205689707,42.08621473960727,0.6931259568693541,0.0012303800730517622
